Healthyeating,Dailyevents,Prioritisingworkload,Writingnotes,Workaholism,Thinkingahead,Finaljudgement,Reliability,Keepingpromises
,,,,Low,,,Yes,
,,,,Moderate,,,No,
,,,,Moderate,,,No,
,,,,Low,,,Yes,
,,,,High,,,Yes,
,,,,Very low,,,Yes,
,,,,No,,,Yes,
,,,,Moderate,,,Yes,
,,,,Low,,,Yes,
,,,,Low,,,Yes,
,,,,Low,,,Yes,
,,,,Low,,,Yes,
,,,,High,,,Yes,
,,,,Low,,,Yes,
,,,,High,,,Yes,
,,,,No,,,Yes,
,,,,Very low,,,No,
,,,,High,,,Yes,
,,,,Low,,,Yes,
,,,,Low,,,Yes,
,,,,Low,,,Yes,
,,,,No,,,No,
,,,,High,,,No,
,,,,Low,,,Yes,
,,,,Very low,,,Yes,
,,,,Very low,,,No,
,,,,Moderate,,,Yes,
,,,,Moderate,,,No,
,,,,Moderate,,,Yes,
,,,,Low,,,Yes,
,,,,Low,,,Yes,
,,,,Low,,,Yes,
,,,,Very low,,,Yes,
,,,,Very low,,,Yes,
,,,,Moderate,,,No,
,,,,Moderate,,,Yes,
,,,,Moderate,,,Yes,
,,,,Moderate,,,Yes,
,,,,High,,,Yes,
,,,,Moderate,,,Yes,
,,,,Very low,,,Yes,
,,,,Moderate,,,No,
,,,,Moderate,,,Yes,
,,,,Low,,,Yes,
,,,,No,,,No,
,,,,Moderate,,,Yes,
,,,,Low,,,Yes,
,,,,No,,,Yes,
,,,,Moderate,,,Yes,
,,,,Low,,,Yes,
,,,,No,,,Yes,
,,,,Low,,,Yes,
,,,,High,,,Yes,
,,,,Low,,,Yes,
,,,,Low,,,Yes,
,,,,Low,,,Yes,
,,,,Very low,,,No,
,,,,Very low,,,Yes,
,,,,Very low,,,Yes,
,,,,No,,,No,
,,,,Low,,,No,
,,,,Low,,,Yes,
,,,,High,,,Yes,
,,,,No,,,Yes,
,,,,Moderate,,,Yes,
,,,,High,,,Yes,
,,,,High,,,Yes,
,,,,Low,,,No,
,,,,High,,,Yes,
,,,,No,,,Yes,
,,,,Low,,,Yes,
,,,,High,,,Yes,
,,,,Very low,,,No,
,,,,No,,,Yes,
,,,,High,,,Yes,
,,,,Moderate,,,No,
,,,,Very low,,,Yes,
,,,,Low,,,No,
,,,,High,,,No,
,,,,Low,,,No,
,,,,Very low,,,Yes,
,,,,No,,,No,
,,,,No,,,Yes,
,,,,Very low,,,Yes,
,,,,Very low,,,Yes,
,,,,Low,,,No,
,,,,Low,,,Yes,
,,,,Low,,,Yes,
,,,,Very low,,,Yes,
,,,,No,,,Yes,
,,,,Moderate,,,Yes,
,,,,No,,,Yes,
,,,,Very low,,,Yes,
,,,,Very low,,,Yes,
,,,,Moderate,,,Yes,
,,,,No,,,No,
,,,,Moderate,,,No,
,,,,No,,,No,
,,,,High,,,Yes,
,,,,Moderate,,,No,
,,,,No,,,Yes,
,,,,Low,,,Yes,
,,,,Very low,,,No,
,,,,Low,,,No,
,,,,Very low,,,Yes,
,,,,Low,,,Yes,
,,,,Low,,,No,
,,,,Low,,,Yes,
,,,,Moderate,,,Yes,
,,,,Very low,,,Yes,
,,,,No,,,No,
,,,,Very low,,,Yes,
,,,,Very low,,,Yes,
,,,,High,,,Yes,
,,,,High,,,Yes,
,,,,Very low,,,Yes,
,,,,Very low,,,Yes,
,,,,No,,,Yes,
,,,,No,,,Yes,
,,,,Moderate,,,Yes,
,,,,High,,,Yes,
,,,,Low,,,Yes,
,,,,Moderate,,,Yes,
,,,,High,,,Yes,
,,,,Low,,,Yes,
,,,,Very low,,,Yes,
,,,,High,,,Yes,
,,,,Very low,,,No,
,,,,Low,,,Yes,
,,,,Very low,,,Yes,
,,,,No,,,No,
,,,,Moderate,,,Yes,
,,,,Low,,,Yes,
,,,,Very low,,,No,
,,,,Low,,,No,
,,,,Very low,,,No,
,,,,Very low,,,Yes,
,,,,Low,,,Yes,
,,,,Low,,,Yes,
,,,,No,,,Yes,
,,,,Very low,,,Yes,
,,,,High,,,Yes,
,,,,Low,,,No,
,,,,Moderate,,,Yes,
,,,,Very low,,,Yes,
,,,,No,,,No,
,,,,Moderate,,,No,
,,,,Low,,,Yes,
,,,,Low,,,Yes,
,,,,Very low,,,No,
,,,,Moderate,,,Yes,
,,,,High,,,Yes,
,,,,High,,,No,
,,,,Low,,,Yes,
,,,,Very low,,,Yes,
,,,,Very low,,,No,
,,,,Low,,,No,
,,,,Low,,,Yes,
,,,,Moderate,,,Yes,
,,,,No,,,No,
,,,,Very low,,,No,
,,,,No,,,Yes,
,,,,No,,,No,
,,,,Low,,,Yes,
,,,,No,,,Yes,
,,,,Moderate,,,Yes,
,,,,Moderate,,,No,
,,,,No,,,No,
,,,,Very low,,,No,
,,,,Very low,,,Yes,
,,,,Low,,,Yes,
,,,,Low,,,Yes,
,,,,Low,,,Yes,
,,,,No,,,No,
,,,,Low,,,No,
,,,,No,,,No,
,,,,Very low,,,Yes,
,,,,Moderate,,,No,
,,,,Moderate,,,Yes,
,,,,Low,,,Yes,
,,,,Low,,,Yes,
,,,,High,,,No,
,,,,Low,,,Yes,
,,,,Moderate,,,Yes,
,,,,Low,,,Yes,
,,,,Low,,,No,
,,,,Low,,,Yes,
,,,,Low,,,Yes,
,,,,Low,,,Yes,
,,,,Low,,,Yes,
,,,,Very low,,,No,
,,,,Moderate,,,Yes,
,,,,Very low,,,No,
,,,,Low,,,Yes,
,,,,Low,,,Yes,
,,,,High,,,No,
,,,,Moderate,,,Yes,
,,,,High,,,Yes,
,,,,Moderate,,,No,
,,,,High,,,Yes,
,,,,Very low,,,Yes,
,,,,No,,,Yes,
,,,,Moderate,,,Yes,
,,,,Very low,,,Yes,
,,,,High,,,Yes,
,,,,Very low,,,Yes,
,,,,Very low,,,Yes,
,,,,No,,,Yes,
,,,,Very low,,,No,
,,,,High,,,No,
,,,,No,,,No,
,,,,Very low,,,No,
,,,,Very low,,,No,
,,,,Low,,,No,
,,,,High,,,Yes,
,,,,Very low,,,Yes,
,,,,High,,,Yes,
,,,,No,,,No,
,,,,Low,,,No,
,,,,Moderate,,,Yes,
,,,,Very low,,,Yes,
,,,,Moderate,,,Yes,
,,,,Moderate,,,Yes,
,,,,High,,,Yes,
,,,,High,,,Yes,
,,,,Moderate,,,Yes,
,,,,Low,,,No,
,,,,Moderate,,,Yes,
,,,,No,,,Yes,
,,,,Low,,,No,
,,,,Low,,,Yes,
,,,,Very low,,,Yes,
,,,,Very low,,,Yes,
,,,,High,,,Yes,
,,,,Very low,,,Yes,
,,,,High,,,Yes,
,,,,Very low,,,Yes,
,,,,Low,,,Yes,
,,,,No,,,Yes,
,,,,Very low,,,Yes,
,,,,No,,,No,
,,,,Very low,,,Yes,
,,,,High,,,Yes,
,,,,Very low,,,No,
,,,,High,,,Yes,
,,,,Low,,,Yes,
,,,,Low,,,No,
,,,,Low,,,Yes,
,,,,Low,,,No,
,,,,Moderate,,,Yes,
,,,,Low,,,Yes,
,,,,Low,,,Yes,
,,,,Moderate,,,Yes,
,,,,Low,,,Yes,
,,,,No,,,No,
,,,,Very low,,,No,
,,,,Low,,,Yes,
,,,,Very low,,,No,
,,,,Low,,,Yes,
,,,,Low,,,Yes,
,,,,Low,,,Yes,
,,,,Low,,,Yes,
,,,,Very low,,,No,
,,,,Moderate,,,No,
,,,,Low,,,Yes,
,,,,No,,,Yes,
,,,,Low,,,Yes,
,,,,Low,,,No,
,,,,Low,,,No,
,,,,Moderate,,,Yes,
,,,,Very low,,,No,
,,,,Low,,,Yes,
,,,,High,,,Yes,
,,,,Very low,,,No,
,,,,High,,,Yes,
,,,,Low,,,Yes,
,,,,High,,,Yes,
,,,,Low,,,Yes,
,,,,Very low,,,No,
,,,,No,,,Yes,
,,,,No,,,Yes,
,,,,Very low,,,Yes,
,,,,Low,,,Yes,
,,,,High,,,Yes,
,,,,Low,,,Yes,
,,,,High,,,Yes,
,,,,No,,,Yes,
,,,,Moderate,,,Yes,
,,,,Very low,,,No,
,,,,Low,,,No,
,,,,Moderate,,,Yes,
,,,,Very low,,,Yes,
,,,,Very low,,,Yes,
,,,,Low,,,Yes,
,,,,Moderate,,,Yes,
,,,,Moderate,,,Yes,
,,,,No,,,No,
,,,,High,,,Yes,
,,,,Moderate,,,Yes,
,,,,No,,,Yes,
,,,,Very low,,,Yes,
,,,,Low,,,No,
,,,,High,,,No,
,,,,Very low,,,Yes,
,,,,Very low,,,No,
,,,,Very low,,,Yes,
,,,,Moderate,,,Yes,
,,,,Very low,,,No,
,,,,Very low,,,Yes,
,,,,Very low,,,Yes,
,,,,Low,,,Yes,
,,,,Moderate,,,Yes,
,,,,Very low,,,Yes,
,,,,Low,,,No,
,,,,Low,,,Yes,
,,,,No,,,No,
,,,,Very low,,,No,
,,,,Low,,,No,
,,,,Very low,,,No,
,,,,Low,,,Yes,
,,,,Low,,,Yes,
,,,,High,,,Yes,
,,,,No,,,Yes,
,,,,Low,,,Yes,
,,,,Moderate,,,Yes,
,,,,High,,,Yes,
,,,,Low,,,Yes,
,,,,Moderate,,,Yes,
,,,,Low,,,No,
,,,,Very low,,,Yes,
,,,,Very low,,,Yes,
,,,,Moderate,,,Yes,
,,,,Very low,,,Yes,
,,,,Low,,,Yes,
,,,,Very low,,,No,
,,,,Low,,,No,
,,,,Low,,,Yes,
,,,,No,,,Yes,
,,,,High,,,Yes,
,,,,No,,,No,
,,,,Very low,,,No,
,,,,No,,,Yes,
,,,,Low,,,Yes,
,,,,Very low,,,No,
,,,,Moderate,,,Yes,
,,,,Low,,,Yes,
,,,,Moderate,,,Yes,
,,,,Low,,,Yes,
,,,,Moderate,,,Yes,
,,,,Moderate,,,Yes,
,,,,Very low,,,Yes,
,,,,Moderate,,,Yes,
,,,,Moderate,,,No,
,,,,Very low,,,No,
,,,,Low,,,Yes,
,,,,No,,,Yes,
,,,,Very low,,,Yes,
,,,,Very low,,,No,
,,,,Low,,,No,
,,,,Moderate,,,Yes,
,,,,High,,,Yes,
,,,,Low,,,No,
,,,,Low,,,Yes,
,,,,Low,,,Yes,
,,,,Moderate,,,No,
,,,,Low,,,Yes,
,,,,Very low,,,Yes,
,,,,Low,,,No,
,,,,Low,,,Yes,
,,,,Low,,,Yes,
,,,,No,,,Yes,
,,,,No,,,Yes,
,,,,No,,,Yes,
,,,,Low,,,Yes,
,,,,Low,,,No,
,,,,High,,,No,
,,,,Low,,,Yes,
,,,,High,,,No,
,,,,Moderate,,,Yes,
,,,,Very low,,,No,
,,,,No,,,No,
,,,,High,,,Yes,
,,,,Moderate,,,Yes,
,,,,Very low,,,Yes,
,,,,Moderate,,,Yes,
,,,,No,,,No,
,,,,High,,,No,
,,,,Very low,,,Yes,
,,,,Very low,,,Yes,
,,,,No,,,No,
,,,,No,,,No,
,,,,Very low,,,No,
,,,,Low,,,Yes,
,,,,Very low,,,Yes,
,,,,Very low,,,Yes,
,,,,Low,,,No,
,,,,Low,,,Yes,
,,,,Moderate,,,No,
,,,,Moderate,,,Yes,
,,,,High,,,Yes,
,,,,High,,,Yes,
,,,,Very low,,,Yes,
,,,,Moderate,,,Yes,
,,,,Low,,,Yes,
,,,,No,,,Yes,
,,,,Low,,,No,
,,,,Moderate,,,No,
,,,,Moderate,,,No,
,,,,Moderate,,,No,
,,,,Low,,,Yes,
,,,,Low,,,No,
,,,,Very low,,,No,
,,,,Very low,,,No,
,,,,No,,,No,
,,,,Very low,,,No,
,,,,Very low,,,Yes,
,,,,Very low,,,No,
,,,,High,,,Yes,
,,,,High,,,Yes,
,,,,Very low,,,Yes,
,,,,Moderate,,,Yes,
,,,,Low,,,Yes,
,,,,No,,,No,
,,,,Low,,,Yes,
,,,,High,,,Yes,
,,,,Very low,,,Yes,
,,,,Moderate,,,No,
,,,,Very low,,,Yes,
,,,,Very low,,,No,
,,,,Moderate,,,No,
,,,,No,,,No,
,,,,Moderate,,,No,
,,,,High,,,Yes,
,,,,Moderate,,,Yes,
,,,,No,,,No,
,,,,Low,,,Yes,
,,,,Low,,,Yes,
,,,,No,,,No,
,,,,No,,,No,
,,,,No,,,No,
,,,,Low,,,No,
,,,,Moderate,,,No,
,,,,Very low,,,Yes,
,,,,High,,,Yes,
,,,,No,,,Yes,
,,,,No,,,No,
,,,,Low,,,Yes,
,,,,Low,,,Yes,
,,,,Low,,,Yes,
,,,,No,,,Yes,
,,,,Low,,,Yes,
,,,,No,,,No,
,,,,High,,,Yes,
,,,,Very low,,,Yes,
,,,,High,,,Yes,
,,,,Low,,,Yes,
,,,,Moderate,,,No,
,,,,High,,,Yes,
,,,,High,,,Yes,
,,,,High,,,Yes,
,,,,Low,,,Yes,
,,,,Very low,,,No,
,,,,High,,,Yes,
,,,,Moderate,,,No,
,,,,No,,,No,
,,,,No,,,Yes,
,,,,No,,,Yes,
,,,,Moderate,,,No,
,,,,Low,,,No,
,,,,High,,,Yes,
,,,,Moderate,,,No,
,,,,No,,,No,
,,,,No,,,No,
,,,,Low,,,Yes,
,,,,Low,,,No,
,,,,Low,,,Yes,
,,,,Moderate,,,Yes,
,,,,High,,,Yes,
,,,,No,,,No,
,,,,Low,,,Yes,
,,,,No,,,No,
,,,,Low,,,No,
,,,,No,,,Yes,
,,,,Moderate,,,No,
,,,,No,,,No,
,,,,No,,,Yes,
